name,label,rt0,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9
non.0049M.0115F.npy,1,3,1,1,0,4,3,4,0,1,0
non.0344M.0128F.npy,1,3,1,0,1,0,2,4,4,3,1
non.0035M.0156F.npy,1,3,2,3,3,4,3,2,0,4,3
non.0989M.0110F.npy,1,2,1,1,3,2,0,0,2,1,4
non.0006M.0207F.npy,1,4,2,0,1,0,1,2,2,2,2
couple.0283.0431M.0393F.npy,0,1,2,3,1,0,1,1,0,4,1
couple.0266.0398M.0360F.npy,0,3,2,0,0,1,0,1,2,1,2
non.0906M.0354F.npy,1,4,1,4,0,2,2,0,2,1,3
non.0941M.0508F.npy,1,2,1,1,2,3,3,3,4,0,4
couple.0354.0604M.0510F.npy,0,0,2,3,0,3,4,0,1,4,1
non.0556M.0647F.npy,1,1,4,3,0,1,3,0,3,2,4
couple.0017.0032M.0031F.npy,0,4,2,1,0,0,0,0,0,1,4
couple.0806.1134M.0943F.npy,0,0,1,2,0,3,4,0,0,4,0
non.0108M.0341F.npy,1,3,3,3,1,4,4,0,3,0,0
non.0632M.0014F.npy,1,4,4,3,0,4,3,3,1,1,4
couple.0002.0004M.0003F.npy,0,0,0,4,4,4,2,4,1,4,1
couple.0856.1190M.0987F.npy,0,3,3,0,1,2,0,0,0,4,4
couple.0272.0408M.0372F.npy,0,4,3,0,3,0,4,0,4,1,3
non.0814M.0756F.npy,1,1,4,4,4,0,1,1,0,1,3
couple.0264.0394M.0357F.npy,0,4,1,2,2,3,2,2,0,1,0
couple.0143.0200M.0182F.npy,0,1,4,4,2,0,1,3,1,3,3
couple.0769.1079M.0893F.npy,0,4,0,2,3,4,3,1,0,4,0
non.0084M.0901F.npy,1,1,1,2,4,2,3,1,2,0,1
non.0484M.0516F.npy,1,3,1,3,3,2,1,2,0,4,2
couple.0280.0425M.0388F.npy,0,0,1,1,3,1,3,3,4,2,0
couple.0781.1099M.0911F.npy,0,0,4,4,1,0,1,1,1,1,4
couple.0224.0321M.0295F.npy,0,3,0,2,3,4,2,3,1,2,2
non.0798M.0649F.npy,1,4,4,2,2,0,0,0,2,1,0
non.0618M.0630F.npy,1,2,0,3,2,0,0,1,0,4,3
couple.0866.1202M.0999F.npy,0,0,4,4,3,1,4,0,2,4,4
couple.0211.0299M.0272F.npy,0,4,0,1,0,2,0,4,3,2,4
non.0496M.0077F.npy,1,0,3,3,3,1,0,1,4,4,1
non.0430M.0239F.npy,1,3,3,3,2,0,4,1,3,0,2
non.0700M.0178F.npy,1,0,1,3,0,2,1,2,2,2,1
couple.0430.0722M.0599F.npy,0,0,3,2,0,1,0,0,2,3,1
couple.0354.0603M.0510F.npy,0,1,4,2,0,1,4,1,0,4,1
non.0385M.0307F.npy,1,2,4,4,4,1,1,1,0,0,3
couple.0144.0201M.0183F.npy,0,2,0,1,3,1,1,3,2,2,4
couple.0931.1272M.1063F.npy,0,4,2,3,0,3,1,1,3,0,4
non.0216M.0409F.npy,1,0,0,2,0,1,3,3,3,3,1
non.0007M.0074F.npy,1,0,3,0,2,4,1,0,3,3,1
couple.0225.0323M.0297F.npy,0,4,3,2,1,2,3,4,1,3,0
couple.0240.0348M.0318F.npy,0,3,4,4,4,3,2,1,2,2,4
couple.0493.0786M.0646F.npy,0,0,2,3,1,0,3,3,4,2,0
couple.0715.1016M.0839F.npy,0,1,1,2,0,4,4,2,2,1,2
couple.0189.0269M.0249F.npy,0,1,0,1,2,2,2,0,3,3,0
couple.0204.0288M.0266F.npy,0,3,3,3,0,4,1,3,2,3,4
couple.0191.0272M.0252F.npy,0,0,2,0,2,0,4,1,2,1,2
couple.0993.1339M.1120F.npy,0,2,3,1,0,0,2,0,1,3,2
non.0935M.0786F.npy,1,4,0,1,1,3,3,0,0,4,3
non.0765M.0810F.npy,1,3,2,0,0,4,1,2,3,0,0
couple.0184.0261M.0241F.npy,0,0,0,1,3,2,2,4,1,0,3
non.0983M.0149F.npy,1,2,4,4,1,2,4,1,2,1,1
non.0623M.0437F.npy,1,3,3,1,3,3,3,0,1,1,4
non.0262M.0114F.npy,1,1,2,0,3,0,3,1,0,3,2
non.0495M.0017F.npy,1,3,2,3,3,4,3,0,0,3,3
couple.0128.0182M.0165F.npy,0,4,1,0,4,0,3,4,4,0,0
non.0199M.0712F.npy,1,1,4,3,4,3,0,4,2,0,4
non.0207M.0879F.npy,1,4,4,0,1,4,1,0,0,3,4
couple.0045.0070M.0065F.npy,0,4,3,1,1,4,0,4,3,0,0
non.0129M.0926F.npy,1,1,0,1,1,1,3,4,1,4,2
non.0826M.0631F.npy,1,4,2,3,2,4,1,4,2,1,1
couple.0248.0365M.0331F.npy,0,3,3,2,0,4,1,4,1,3,4
non.0778M.0334F.npy,1,4,4,4,0,4,2,1,0,4,2
couple.0303.0474M.0429F.npy,0,3,3,2,2,1,2,0,1,1,1
couple.0264.0395M.0357F.npy,0,3,0,0,2,3,0,2,1,1,0
couple.0024.0043M.0044F.npy,0,3,1,3,0,3,4,0,2,2,0
couple.0469.0762M.0626F.npy,0,2,1,1,1,1,3,4,3,0,4
couple.0336.0552M.0478F.npy,0,0,2,3,3,0,3,0,4,3,0
non.0657M.0064F.npy,1,3,2,3,1,1,0,1,2,1,0
couple.0358.0613M.0515F.npy,0,4,3,4,4,4,1,4,0,2,3
non.0259M.0145F.npy,1,0,2,4,4,1,4,1,1,3,2
couple.0889.1226M.1023F.npy,0,2,3,3,1,0,1,1,2,3,4
non.0332M.0708F.npy,1,3,3,2,0,1,0,4,4,0,4
non.0163M.0401F.npy,1,0,4,3,0,0,3,3,0,3,4
