name,label,rt0,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9
non.0003M.0393F.npy,1,3,0,0,2,4,2,2,0,3,3
non.0299M.0994F.npy,1,0,2,3,3,3,0,2,3,4,2
non.0094M.0818F.npy,1,0,1,1,4,0,3,0,1,1,3
non.0235M.0945F.npy,1,4,1,3,4,4,1,0,2,2,0
non.0059M.0052F.npy,1,4,3,3,3,3,3,3,2,4,4
non.0024M.0031F.npy,1,0,2,1,3,1,4,0,4,3,1
non.0764M.0288F.npy,1,4,4,3,3,3,2,4,3,2,1
non.0108M.0145F.npy,1,1,0,4,3,4,1,2,0,3,1
couple.0582.0870M.0714F.npy,0,2,4,1,2,4,0,0,0,1,4
non.0069M.0141F.npy,1,1,1,0,2,4,1,4,2,3,2
couple.0637.0924M.0761F.npy,0,0,1,3,3,4,1,1,4,2,2
couple.0570.0859M.0704F.npy,0,2,1,3,3,3,0,0,0,4,0
non.0211M.0362F.npy,1,1,2,3,1,0,1,1,2,2,3
couple.0144.0202M.0183F.npy,0,3,0,2,4,0,4,1,4,1,4
non.0026M.0027F.npy,1,0,0,2,1,3,2,1,1,2,1
couple.0101.0140M.0129F.npy,0,0,4,1,0,4,0,4,2,2,4
non.0420M.0551F.npy,1,4,2,2,2,2,0,2,2,4,0
non.0604M.0579F.npy,1,1,2,4,4,4,0,3,4,2,3
non.0398M.0784F.npy,1,2,3,2,1,2,4,0,2,0,1
couple.0286.0437M.0398F.npy,0,0,3,0,3,4,3,3,2,4,3
couple.0792.1114M.0926F.npy,0,4,3,3,2,1,0,4,0,1,0
couple.0732.1037M.0857F.npy,0,2,0,4,3,2,2,0,0,4,4
non.0364M.0144F.npy,1,4,3,0,1,0,4,4,0,4,0
couple.0772.1083M.0897F.npy,0,2,3,1,1,3,3,1,2,1,4
non.0501M.0946F.npy,1,3,1,0,4,0,1,2,1,3,2
non.0321M.0870F.npy,1,3,2,4,3,0,2,1,2,0,4
couple.0700.0999M.0824F.npy,0,3,0,2,1,2,4,3,0,2,1
non.0703M.0806F.npy,1,2,0,2,3,0,1,0,1,3,2
couple.0128.0182M.0165F.npy,0,0,4,2,4,0,0,3,2,3,0
non.0296M.0155F.npy,1,1,4,4,3,0,3,4,3,0,0
couple.0294.0454M.0412F.npy,0,2,3,3,0,0,4,3,0,1,1
couple.0626.0911M.0752F.npy,0,3,0,4,3,1,1,4,3,2,0
couple.0678.0976M.0807F.npy,0,4,0,1,1,3,1,1,0,1,3
couple.0245.0358M.0325F.npy,0,0,0,4,3,0,1,1,0,3,3
couple.0286.0436M.0399F.npy,0,0,0,1,1,2,3,3,0,4,1
couple.0010.0020M.0021F.npy,0,0,0,4,3,0,1,0,3,4,3
non.0747M.0660F.npy,1,4,1,1,3,1,1,1,2,3,2
couple.0874.1211M.1008F.npy,0,0,1,2,1,3,2,2,0,1,3
non.0490M.0054F.npy,1,2,3,2,4,0,0,2,2,3,2
couple.0051.0077M.0072F.npy,0,4,0,1,2,0,0,1,4,1,3
couple.0345.0575M.0494F.npy,0,2,2,2,1,3,2,2,2,3,1
non.0889M.0859F.npy,1,4,0,1,0,0,0,3,4,2,2
non.0913M.0047F.npy,1,0,3,2,3,0,2,0,3,3,1
non.0081M.0910F.npy,1,0,2,3,2,0,3,2,1,1,4
couple.0608.0894M.0739F.npy,0,2,0,1,4,2,3,4,4,0,1
non.0194M.0634F.npy,1,2,2,3,3,3,4,4,0,1,0
non.0066M.0474F.npy,1,2,0,2,4,1,3,2,4,4,3
couple.0647.0937M.0773F.npy,0,4,1,4,3,4,1,4,4,3,2
non.0002M.0990F.npy,1,2,4,1,0,4,4,3,1,0,1
non.0420M.0847F.npy,1,3,2,4,1,2,1,1,4,0,1
non.0797M.0768F.npy,1,3,4,3,3,4,4,3,3,4,3
couple.0539.0829M.0681F.npy,0,4,4,1,1,4,3,4,2,0,1
non.0278M.0278F.npy,1,0,2,1,4,4,2,3,4,3,4
non.0281M.0993F.npy,1,1,3,3,2,1,1,0,4,1,3
couple.0156.0221M.0201F.npy,0,0,1,3,0,4,0,1,1,2,4
non.0235M.0571F.npy,1,0,3,0,2,3,0,3,1,3,4
non.0106M.0309F.npy,1,1,1,2,0,1,3,1,1,0,1
non.0949M.0166F.npy,1,3,1,4,3,1,3,4,3,3,2
couple.0097.0135M.0121F.npy,0,1,1,0,0,1,2,2,4,2,1
couple.0279.0423M.0386F.npy,0,2,3,4,3,4,1,1,1,1,1
non.0316M.0701F.npy,1,2,4,1,1,0,4,1,3,3,2
couple.0762.1069M.0885F.npy,0,4,1,0,0,2,3,1,3,3,4
non.0385M.0357F.npy,1,2,0,1,3,3,3,4,1,3,4
non.0088M.0426F.npy,1,4,2,1,1,2,2,1,0,1,3
couple.0407.0689M.0574F.npy,0,1,4,4,1,4,1,2,1,4,0
couple.0667.0965M.0796F.npy,0,3,3,2,2,0,1,0,0,1,0
